Major,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Engineering Aerospace Engineering,472,493,559,541,518,469,524,479,552,534,631,688,743
Agricultural & Biological Eng,230,230,201,224,181,125,94,66,47,40,37,34,31
Biological Engineering,40,99,131,125,115,102,89,94,79,,,,
Biomedical Engineering,77,85,84,131,254,291,358,461,532,545,643,758,759
Chemical Engineering,541,578,668,743,833,825,834,804,757,715,648,641,625
Civil Engineering,979,991,925,839,787,686,633,658,719,732,735,726,667
Coastal & Oceanographic Eng,38,42,28,22,30,43,36,25,21,23,26,27,25
Computer Engineering,846,816,888,892,851,835,695,707,650,649,624,607,563
Computer Science,131,147,158,186,228,327,410,637,1163,1336,1197,1513,1578
Digital Arts and Sciences,90,82,77,78,79,87,76,66,75,64,52,54,51
Education Grad Cert,12,36,47,35,,,,,,,,,
Electrical & Computer Eng,19,19,21,25,20,484,456,602,558,468,434,537,504
Electrical Engineering,1073,1078,1043,1072,1097,523,570,569,608,599,616,589,553
Industrial & Systems Eng,727,753,813,842,873,921,779,729,679,641,663,618,647
Materials Science & Eng,393,420,457,407,403,438,473,405,454,461,423,372,357
Mechanical Eng,1190,1205,1297,1485,1599,1557,1665,1654,1734,1759,1681,1624,1612
Nuclear Eng,102,120,142,136,111,102,97,92,89,71,61,59,59
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
